qid,question
Q001,What goods must travellers declare before arriving in Australia?
Q002,What should travellers do with food left over from their plane or ship?
Q003,What steps should travellers follow when they arrive in Australia?
Q004,Can travellers' bags be checked even if they do not declare any goods?
Q005,What can happen if a traveller fails to declare biosecurity risk goods?
Q006,Will travellers be penalised if they declare goods that are not allowed into Australia?
Q007,What happens to goods that a traveller declares when entering Australia?
Q008,Do travellers need to be concerned about contaminated hiking boots or outdoor equipment?
Q009,What should a traveller do if they discover a biosecurity risk after arriving in Australia?
Q010,"Are laptops, phones and cameras considered biosecurity risks?"
Q011,Do travellers need to declare dairy and egg products when entering Australia?
Q012,What types of plant material may need to be declared when entering Australia?
Q013,"Do travellers need to declare herbs, spices or herbal teas when entering Australia?"
Q014,What animal products may need to be declared when travelling to Australia?
Q015,How can travellers check whether goods are allowed into Australia before travelling?
