passage_id,passage,source,page
P001,"Complete your declaration. By law, you must declare any risk goods, including certain food, plant material and animal products.",travelling-returning-australia-english.pdf,1
P002,Don't take food off the plane or ship.,travelling-returning-australia-english.pdf,1
P003,"When you arrive in Australia, proceed through immigration clearance, collect your baggage, then proceed to biosecurity inspection and present your declaration and the goods you are declaring to the biosecurity officer.",travelling-returning-australia-english.pdf,1
P004,"Your bags may be checked by a biosecurity officer, a detector dog or X-ray, even if you don't declare any goods.",travelling-returning-australia-english.pdf,1
P005,"If you provide false or misleading information to a biosecurity officer or on your declaration, fail to answer questions about the goods, or fail to comply with directions, you may be given an infringement notice, be subject to civil penalty proceedings, and/or be prosecuted for a criminal offence.",travelling-returning-australia-english.pdf,1
P006,"You will not be penalised under the Biosecurity Act 2015 if you declare and present all goods, even if they are not allowed into Australia.",travelling-returning-australia-english.pdf,1
P007,"A biosecurity officer will inspect your presented goods and may ask for more information or documentation. If the goods are permitted and pass inspection they will be returned to you. If the goods do not pass inspection, you may have to pay to have the goods treated, exported from Australia or destroyed.",travelling-returning-australia-english.pdf,1
P008,"Outdoor, camping and sports equipment and footwear can be a biosecurity concern. Examples include hiking boots, fishing equipment and anything that could be contaminated with soil, seeds, animal or faecal matter, or freshwater.",travelling-returning-australia-english.pdf,2
P009,"If you find live animals, insects, soil, plant material or other risk items when unpacking, phone 1800 798 636. You won't be penalised.",travelling-returning-australia-english.pdf,2
P010,"Electronic equipment including laptops, tablets, phones and cameras is not considered a biosecurity risk.",travelling-returning-australia-english.pdf,2
P011,"Dairy and egg products are examples of goods that may need to be declared. These include infant formula, cheese, milk, yoghurt, eggs, mayonnaise, noodles and pasta.",travelling-returning-australia-english.pdf,2
P012,"Plant material that may need to be declared includes live plants, seeds, bulbs, cuttings, fresh and dried flowers, wooden items, bark, leaves and straw.",travelling-returning-australia-english.pdf,2
P013,"Food items that may need to be declared include honey, herbs and spices, including herbal teas and medicines, snacks and other foods.",travelling-returning-australia-english.pdf,2
P014,"Animal products that may need to be declared include eggs, nests, feathers, bones, horns, skins, animal fur or hair, stuffed animals, shells, coral and bee products.",travelling-returning-australia-english.pdf,2
P015,"Travellers can check Australian Government information about bringing goods into Australia and use BICON to check import conditions. If an import permit is required, it must be obtained before bringing the goods into Australia.",travelling-returning-australia-english.pdf,1
